character_id,character_name,tested_llm,simulator_llm,mode,gt_E,gt_N,gt_C,gt_A,gt_O,inf_E,inf_N,inf_C,inf_A,inf_O,err_E,err_N,err_C,err_A,err_O,MAE,num_turns,timestamp
1000767,"Gabriel ""Gabby/PladShrt"" Wouters",chatgpt,claude,llm_first,25.0,0.0,0.0,75.0,25.0,25.0,60.0,60.0,75.0,70.0,0.0,60.0,60.0,0.0,45.0,33.0,10,2026-02-08T04:15:33.433695
1000767,"Gabriel ""Gabby/PladShrt"" Wouters",chatgpt,claude,char_first,25.0,0.0,0.0,75.0,25.0,35.0,60.0,65.0,80.0,85.0,10.0,60.0,65.0,5.0,60.0,40.0,10,2026-02-08T04:17:48.752710
1000767,"Gabriel ""Gabby/PladShrt"" Wouters",deepseek,claude,llm_first,25.0,0.0,0.0,75.0,25.0,20.0,35.0,75.0,60.0,40.0,5.0,35.0,75.0,15.0,15.0,29.0,10,2026-02-08T04:20:16.292031
1000767,"Gabriel ""Gabby/PladShrt"" Wouters",deepseek,claude,char_first,25.0,0.0,0.0,75.0,25.0,25.0,60.0,75.0,70.0,65.0,0.0,60.0,75.0,5.0,40.0,36.0,10,2026-02-08T04:22:11.211564
1000767,"Gabriel ""Gabby/PladShrt"" Wouters",grok,claude,llm_first,25.0,0.0,0.0,75.0,25.0,40.0,60.0,30.0,55.0,45.0,15.0,60.0,30.0,20.0,20.0,29.0,10,2026-02-08T04:24:19.634047
1000767,"Gabriel ""Gabby/PladShrt"" Wouters",grok,claude,char_first,25.0,0.0,0.0,75.0,25.0,30.0,40.0,35.0,60.0,70.0,5.0,40.0,35.0,15.0,45.0,28.0,10,2026-02-08T04:26:20.210962
1022936,Marty,chatgpt,claude,llm_first,100.0,75.0,0.0,0.0,25.0,90.0,75.0,65.0,55.0,85.0,10.0,0.0,65.0,55.0,60.0,38.0,10,2026-02-08T04:28:45.679642
1022936,Marty,chatgpt,claude,char_first,100.0,75.0,0.0,0.0,25.0,90.0,75.0,55.0,70.0,85.0,10.0,0.0,55.0,70.0,60.0,39.0,10,2026-02-08T04:31:06.264772
1022936,Marty,deepseek,claude,llm_first,100.0,75.0,0.0,0.0,25.0,92.0,35.0,70.0,85.0,75.0,8.0,40.0,70.0,85.0,50.0,50.6,10,2026-02-08T04:33:15.896384
1022936,Marty,deepseek,claude,char_first,100.0,75.0,0.0,0.0,25.0,95.0,10.0,30.0,75.0,90.0,5.0,65.0,30.0,75.0,65.0,48.0,10,2026-02-08T04:35:29.966547
1022936,Marty,grok,claude,llm_first,100.0,75.0,0.0,0.0,25.0,90.0,60.0,70.0,30.0,75.0,10.0,15.0,70.0,30.0,50.0,35.0,10,2026-02-08T04:37:51.308735
1022936,Marty,grok,claude,char_first,100.0,75.0,0.0,0.0,25.0,90.0,30.0,70.0,50.0,80.0,10.0,45.0,70.0,50.0,55.0,46.0,10,2026-02-08T04:39:57.345417
1037371,Bizarro Zane,chatgpt,claude,llm_first,50.0,0.0,100.0,25.0,75.0,25.0,20.0,95.0,10.0,90.0,25.0,20.0,5.0,15.0,15.0,16.0,10,2026-02-08T04:43:15.063848
1037371,Bizarro Zane,chatgpt,claude,char_first,50.0,0.0,100.0,25.0,75.0,65.0,30.0,85.0,10.0,80.0,15.0,30.0,15.0,15.0,5.0,16.0,10,2026-02-08T04:45:52.082209
1037371,Bizarro Zane,deepseek,claude,llm_first,50.0,0.0,100.0,25.0,75.0,30.0,65.0,90.0,25.0,75.0,20.0,65.0,10.0,0.0,0.0,19.0,10,2026-02-08T04:48:42.420761
1037371,Bizarro Zane,deepseek,claude,char_first,50.0,0.0,100.0,25.0,75.0,30.0,65.0,95.0,15.0,40.0,20.0,65.0,5.0,10.0,35.0,27.0,10,2026-02-08T04:50:56.355921
1037371,Bizarro Zane,grok,claude,llm_first,50.0,0.0,100.0,25.0,75.0,20.0,60.0,85.0,15.0,70.0,30.0,60.0,15.0,10.0,5.0,24.0,10,2026-02-08T04:53:23.947148
1037371,Bizarro Zane,grok,claude,char_first,50.0,0.0,100.0,25.0,75.0,40.0,20.0,70.0,60.0,80.0,10.0,20.0,30.0,35.0,5.0,20.0,10,2026-02-08T04:55:56.068462
1047194,"Qīngmáo Shī ""Azure Lion""",chatgpt,claude,llm_first,75.0,100.0,100.0,75.0,50.0,70.0,60.0,85.0,80.0,95.0,5.0,40.0,15.0,5.0,45.0,22.0,10,2026-02-08T04:58:28.040305
1047194,"Qīngmáo Shī ""Azure Lion""",chatgpt,claude,char_first,75.0,100.0,100.0,75.0,50.0,80.0,65.0,70.0,85.0,95.0,5.0,35.0,30.0,10.0,45.0,25.0,10,2026-02-08T05:01:04.914936
1047194,"Qīngmáo Shī ""Azure Lion""",deepseek,claude,llm_first,75.0,100.0,100.0,75.0,50.0,65.0,40.0,85.0,75.0,80.0,10.0,60.0,15.0,0.0,30.0,23.0,10,2026-02-08T05:03:22.513158
1047194,"Qīngmáo Shī ""Azure Lion""",deepseek,claude,char_first,75.0,100.0,100.0,75.0,50.0,75.0,65.0,85.0,70.0,90.0,0.0,35.0,15.0,5.0,40.0,19.0,10,2026-02-08T05:05:43.698703
1047194,"Qīngmáo Shī ""Azure Lion""",grok,claude,llm_first,75.0,100.0,100.0,75.0,50.0,60.0,70.0,75.0,65.0,80.0,15.0,30.0,25.0,10.0,30.0,22.0,10,2026-02-08T05:07:57.901048
1047194,"Qīngmáo Shī ""Azure Lion""",grok,claude,char_first,75.0,100.0,100.0,75.0,50.0,85.0,40.0,75.0,80.0,90.0,10.0,60.0,25.0,5.0,40.0,28.0,10,2026-02-08T05:10:08.425400
1070394,"Ao Lie ""Bái Lóng Mǎ""",chatgpt,claude,llm_first,50.0,0.0,25.0,100.0,100.0,30.0,55.0,70.0,95.0,95.0,20.0,55.0,45.0,5.0,5.0,26.0,10,2026-02-08T05:12:42.128603
1070394,"Ao Lie ""Bái Lóng Mǎ""",chatgpt,claude,char_first,50.0,0.0,25.0,100.0,100.0,25.0,65.0,80.0,95.0,75.0,25.0,65.0,55.0,5.0,25.0,35.0,10,2026-02-08T05:14:50.358262
1070394,"Ao Lie ""Bái Lóng Mǎ""",deepseek,claude,llm_first,50.0,0.0,25.0,100.0,100.0,35.0,55.0,85.0,95.0,70.0,15.0,55.0,60.0,5.0,30.0,33.0,10,2026-02-08T05:17:05.695651
1070394,"Ao Lie ""Bái Lóng Mǎ""",deepseek,claude,char_first,50.0,0.0,25.0,100.0,100.0,65.0,20.0,85.0,95.0,70.0,15.0,20.0,60.0,5.0,30.0,26.0,10,2026-02-08T05:19:19.642186
1070394,"Ao Lie ""Bái Lóng Mǎ""",grok,claude,llm_first,50.0,0.0,25.0,100.0,100.0,30.0,60.0,85.0,90.0,50.0,20.0,60.0,60.0,10.0,50.0,40.0,10,2026-02-08T05:21:45.158485
1070394,"Ao Lie ""Bái Lóng Mǎ""",grok,claude,char_first,50.0,0.0,25.0,100.0,100.0,40.0,60.0,80.0,85.0,55.0,10.0,60.0,55.0,15.0,45.0,37.0,10,2026-02-08T05:23:52.429755
1103142,Todd Landgraab,chatgpt,claude,llm_first,50.0,25.0,50.0,0.0,0.0,55.0,35.0,70.0,30.0,80.0,5.0,10.0,20.0,30.0,80.0,29.0,4,2026-02-08T05:25:06.532526
1103142,Todd Landgraab,chatgpt,claude,char_first,50.0,25.0,50.0,0.0,0.0,65.0,40.0,78.0,30.0,72.0,15.0,15.0,28.0,30.0,72.0,32.0,10,2026-02-08T05:27:18.291417
1103142,Todd Landgraab,deepseek,claude,llm_first,50.0,25.0,50.0,0.0,0.0,45.0,70.0,85.0,25.0,40.0,5.0,45.0,35.0,25.0,40.0,30.0,10,2026-02-08T05:29:42.429358
1103142,Todd Landgraab,deepseek,claude,char_first,50.0,25.0,50.0,0.0,0.0,45.0,30.0,85.0,25.0,60.0,5.0,5.0,35.0,25.0,60.0,26.0,10,2026-02-08T05:31:44.185809
1103142,Todd Landgraab,grok,claude,llm_first,50.0,25.0,50.0,0.0,0.0,60.0,50.0,85.0,30.0,45.0,10.0,25.0,35.0,30.0,45.0,29.0,10,2026-02-08T05:34:05.464553
1103142,Todd Landgraab,grok,claude,char_first,50.0,25.0,50.0,0.0,0.0,75.0,40.0,85.0,30.0,60.0,25.0,15.0,35.0,30.0,60.0,33.0,10,2026-02-08T05:36:02.625369
1156305,Caine,chatgpt,claude,llm_first,100.0,50.0,50.0,75.0,100.0,95.0,25.0,45.0,20.0,98.0,5.0,25.0,5.0,55.0,2.0,18.4,3,2026-02-08T05:37:26.264217
1156305,Caine,chatgpt,claude,char_first,100.0,50.0,50.0,75.0,100.0,95.0,40.0,55.0,45.0,98.0,5.0,10.0,5.0,30.0,2.0,10.4,10,2026-02-08T05:40:14.299637
1156305,Caine,deepseek,claude,llm_first,100.0,50.0,50.0,75.0,100.0,85.0,65.0,90.0,75.0,95.0,15.0,15.0,40.0,0.0,5.0,15.0,10,2026-02-08T05:42:37.143892
1156305,Caine,deepseek,claude,char_first,100.0,50.0,50.0,75.0,100.0,95.0,20.0,40.0,65.0,100.0,5.0,30.0,10.0,10.0,0.0,11.0,10,2026-02-08T05:45:03.199696
1156305,Caine,grok,claude,llm_first,100.0,50.0,50.0,75.0,100.0,95.0,70.0,20.0,60.0,98.0,5.0,20.0,30.0,15.0,2.0,14.4,10,2026-02-08T05:47:18.335191
1156305,Caine,grok,claude,char_first,100.0,50.0,50.0,75.0,100.0,95.0,60.0,10.0,70.0,100.0,5.0,10.0,40.0,5.0,0.0,12.0,10,2026-02-08T05:49:36.438781
